location,driverName,ip,color
Upstairs Copier,PCL6 V4 Driver for Universal Print,10.0.0.99,Color
Upstairs Copier,PCL6 V4 Driver for Universal Print,10.0.0.99,BW
Downstairs Copier,PCL6 V4 Driver for Universal Print,10.0.0.25,Color
Downstairs Copier,PCL6 V4 Driver for Universal Print,10.0.0.25,BW
HP Laserjet 4350,HP Universal Printing PCL 6,10.0.0.19,Color
TESTTOSH,TOSHIBA Universal Printer 2,10.10.10.10,Color
