location,driverName,ip,color
HP LaserJet P3015 ,HP Universal Printing PCL 6,192.168.123.104,Color
Orford Downstairs ,Kyocera TASKalfa 5551ci,192.168.123.100,Color
Orford Upstairs ,TOSHIBA Universal Printer 2,192.168.123.135,Color
Finance,TOSHIBA Universal Printer 2,192.168.123.175,Color
