location,driverName,ip,color
Beverly ,TOSHIBA Universal Printer 2,10.10.7.19,Color
Manchester ,Kyocera TASKalfa 3051ci,10.10.5.6 ,Color
North Andover ,TOSHIBA Universal Printer 2,10.10.8.87,Color
Rochester ,TOSHIBA Universal Printer 2,10.10.18.199,Color
