location,driverName,ip,color
CRA (Kaylee's office) ,HP LaserJet Pro 8610,10.10.51.3,Color
CRA Upstairs ,Kyocera TASKalfa 3501i,10.10.50.10 ,Color
Hall Farm ,Kyocera TASKalfa 3501i ,10.10.12.,Color
Newbury House ,Kyocera TASKalfa 3501i,10.0.0.200 ,Color
Pike Library,HP Universal Printing PCL 6,192.168.163.53,Color
